ID,Content,WeiboID,DateID,DateID-Day,NickName,UserID
53,#NBA##NBA# 收米总归那么简单#马刺##开拓者##勇士##火箭##雄鹿# ​,4432696728142195	,2019-10-29-11,2019-10-29,老将樱木花道,5151318552	
54,#NBA零距离# 【米切尔转身上篮 】米切尔接球不犹豫，流畅转身抹进篮下打板进账2分！#爵士vs太阳##乐鱼体育#   http://t.cn/Ai1WgMuA ​​​,4432696622755296	,2019-10-29-11,2019-10-29,乐鱼体育,6348656573	
55,追梦赛后接受了采访：“我们队伍里有很多年轻人，你必须带领他们前进， 前几场比赛里，我以一个错误的方式在带领他们前进。”#NBA吐槽大会##勇士赛季首胜# ​,4432696522081786	,2019-10-29-11,2019-10-29,勇士动态,3200272271	
56,#NBA零距离# 【米切尔转身上篮 】米切尔接球不犹豫，流畅转身抹进篮下打板进账2分！#爵士vs太阳#  http://t.cn/Ai1WgMuA ​,4432696379919673	,2019-10-29-11,2019-10-29,NBA,1883881851	
57,这是这周的NBA球队官方实力排名，第六名是支新球队 ​,4432696346273323	,2019-10-29-11,2019-10-29,兽爷,1052404565	
58,#NBA零距离#【双方互送2+1】伦纳德突破后裤兜传球助攻祖巴茨打成2+1，随后黄蜂这边PJ-华盛顿接格拉汉姆助攻2+1还以颜色！ #黄蜂vs快船#  http://t.cn/Ai1Wgton ​,4432696312629758	,2019-10-29-11,2019-10-29,NBA,1883881851	
59,熟悉库里回来了？骚助攻，logo shot，统统安排上，这样的表现，勇士能走到哪里?#nba吐槽大会# #勇士赛季首胜#  http://t.cn/Ai1WgbE2 ​,4432696279230943	,2019-10-29-11,2019-10-29,指媒-更衣室观察员,6327283746	
60,21分12板9助，正负值+19！这是威少今天交出的成绩单，虽然开局5中0，但是随后他及时调整帮助球队在落后两位数的情况下完成逆转！威少，刚刚的#NBA吐槽大会#  http://t.cn/Ai1Wg48s ​,4432696266301662	,2019-10-29-11,2019-10-29,飞翔的篮球号,2621523627	
61,🎬 水拉24分7板8助攻集锦🔥 🔥 🔥 #NBA吐槽大会##勇士赛季首胜# http://t.cn/Ai1Wdu8R ​,4432696031555583	,2019-10-29-11,2019-10-29,勇士动态,3200272271	
62,"【罗斯赛后采访：我们必须打好主场比赛】
-这是场艰难的胜利，我们需要用心对待比赛
-今晚我打的很糟糕(terrible night)
-但我给队友鼓励，给队友能量，队友也反馈于我，使我能命中关键一球！
#Go DRose##底特律活塞##nba吐槽大会#  http://t.cn/Ai1WdQ5H ​",4432695969012006	,2019-10-29-11,2019-10-29,Micro篮球显微镜,7261074822	
63,"#NBA老照片[超话]#【全明星怀旧】
1991年全明星赛在夏洛特举行，东部以116-114险胜西部。乔丹以121749票当选票王，巴克利出战35分钟，15投7中，罚球6罚3中，拿下17分。另有22篮板，4助攻，1盖帽、抢断进账。乔丹则交出26分，5篮板，5助攻2抢断的数据 ​",4432695968771454	,2019-10-29-11,2019-10-29,老崔老车老照片,5299990885	
64,"#火箭VS雷霆# #休斯顿火箭# #NBA# #休斯顿火箭[超话]# 
【10.29火箭VS雷霆 哈登40分全场集锦】  http://t.cn/Ai1Wd0Jg ​",4432695889541427	,2019-10-29-11,2019-10-29,HoustonRockets中文网,6229521600	
65,10月29日讯 NBA常规赛，猛龙今日坐镇主场迎战魔术，客队上场比赛不敌老鹰遭遇赛季首败，而主队上场比赛则大胜公牛，球队主控洛瑞也迎来猛龙生涯的第500场常规赛。比赛上来，坐拥主场之利的猛龙迅速进入状态，一波小高潮将分差拉大到两位数，次节双方一度陷入长达五分钟的运动战进球荒，魔术趁乱连续利 ​,4432695775516065	,2019-10-29-11,2019-10-29,篮球集,5675204225	
66,发表了博文《10月29日NBA常规赛勇士vs鹈鹕全场录像回放》NBA直播10月28日讯鹈鹕坐镇主场迎战背靠背的勇士，此役勇士在库里和格林的得分和助攻串联下，全队多点开花，上半场即以72-55建立起大比http://t.cn/Ai1WdIR2 ​,4432695746343744	,2019-10-29-11,2019-10-29,NOWqiu直播,6570825999	
67,10月29日讯 NBA常规赛继续进行，开拓者今日前往客场挑战马刺，主队开赛至今取得两连胜，伤愈复出的穆雷新赛季表现不俗，而客队在揭幕战输球后同样迎来两连胜，其中包括昨天险胜独行侠，此役背靠背作战。比赛上来开拓者外线手感火热，连续射进五记三分迅速将分差拉大到两位数，次节马刺发起反扑缩小分差 ​,4432695579063113	,2019-10-29-11,2019-10-29,篮球集,5675204225	
68,#nba##nba吐槽大会##休斯顿火箭##威少##火箭VS雷霆# 威少赛后和雷霆球员，教练相互拥抱致意！[心][心][心] http://t.cn/Ai1Wd7Zc ​,4432695553410738	,2019-10-29-11,2019-10-29,诸葛村夫1816,3187422204	
69,害 说什么国男配不上国女 我觉得看NBA的和少年的你就可以凑一对神仙眷侣 ​,4432695512037685	,2019-10-29-11,2019-10-29,Cheelapsed,5020717436	
70,魔兽变身灭霸[哈哈][哈哈]不过感觉最后一张网友给出的P图更精髓啊[偷笑][偷笑]#图说NBA# ​,4432695406741704	,2019-10-29-11,2019-10-29,新浪NBA,1736329970	
71,"#NBA零距离#湖人捡到宝了 
霍华德怒送泽勒排球扇帽梦回巅峰 http://t.cn/Ai1Wru8E ​",4432695406741179	,2019-10-29-11,2019-10-29,灌篮大风车,6090644987	
72,"#PointGod# 
特雷杨crossover 命中超远三分
牛皮🔥 🔥 🔥 

#球员实战动作# http://t.cn/Ai1WrRvY ​",4432695360471554	,2019-10-29-11,2019-10-29,控卫魂,3488415372	
73,"休斯敦火箭队，今天取得赛季第二胜，哈登虽然取得40+7的数据，但是命中率惨不忍睹，赛季至今三分球命中率仅有15%，威少依然劲爆，突破暴扣助攻篮板无所不能 ，是今天取胜的关键。

来看他俩的精彩集锦！#NBA[超话]# http://t.cn/Ai1WratC ​",4432695176532062	,2019-10-29-11,2019-10-29,碎片历史,2132702681	
74,"金特里：

“最让我生气的是我们从未进入过比赛该有的状态！特别是在主场打球，我们根本没有进入比赛的模式！如果说我们的口号是won't bow down，那么我们就不该有这样的表现。”#nba##新奥尔良鹈鹕# ​",4432695171968573	,2019-10-29-11,2019-10-29,球哥Lonzo_Ball,5742903834	
75,"在刚刚结束的开拓者客场挑战马刺的比赛中，开拓者最终以110-113不敌马刺

其中，开拓者后卫达米安-利拉德全场28投9中得到28分9篮板7助攻，他在末节独拿18分，差点完成逆转！CJ-麦科勒姆得到27分3篮板5助攻
马刺后卫德马尔-德罗赞表现出色，16投10中，罚球9投7中，高效砍下27分7篮板
值得一提的是，德罗 ​",4432695163328235	,2019-10-29-11,2019-10-29,BIF-篮球即信仰,7188440252	
76,10月29日讯 NBA 常规赛继续进行，老鹰坐镇主场对阵76人，两队在前两场比赛中未尝败绩。首节老鹰一波7-0开局，特雷-接连开火老鹰取得优势，首节战罢，老鹰40-31领先76人。次节再战，恩比德开火将分差抹平，半场前老鹰连得五分重新领先，半场结束，老鹰65-63领先76人。第三节中，大帝恩比德发威助76人反 ​,4432695117290262	,2019-10-29-11,2019-10-29,篮球集,5675204225	
77,#火箭战胜雷霆#有些人是嫌NBA还没凉？ ​,4432695020809385	,2019-10-29-11,2019-10-29,苍穹浩瀚无垠,5342398983	
78,#勇士赛季首胜#【拉塞尔今日集锦】拉塞尔本场比赛拿下24分8篮板7助攻！帮助勇士拿下赛季首胜[鼓掌]#NBA吐槽大会# http://t.cn/Ai1WrZjs ​,4432694945354791	,2019-10-29-11,2019-10-29,库里资讯,5887147203	
79,"#OneMission# #火箭VS雷霆# #休斯顿火箭# #NBA# 
【10.29火箭VS雷霆威少劲爆集锦】  http://t.cn/Ai1WB3UI ​",4432694778208855	,2019-10-29-11,2019-10-29,HoustonRockets中文网,6229521600	
80,"#亚当斯受伤# 

亚当斯遭遇左膝挫伤

希望没有大碍，能早日回归赛场！

#NBA比赛日# #NBA比赛日# #俄克拉荷马雷霆# ​",4432694610147320	,2019-10-29-11,2019-10-29,BIF-篮球即信仰,7188440252	
81,卡帧版乔丹来了！莱昂纳德溜底线突破上演极限拉杆上篮！#NBA比赛日# #高光时刻#  http://t.cn/Ai1WBSxD ​,4432694567654701	,2019-10-29-11,2019-10-29,声色NBA,2022171303	
82,"#休斯顿火箭# #NBA[超话]# 
【火箭vs雷霆回顾】
威少能量点燃全场，快攻暴扣激起声浪千层 💥💥💥  http://t.cn/Ai1W1BSB ​",4432694186546639	,2019-10-29-11,2019-10-29,休斯顿火箭,3802896629	
83,开赛第二周的球队实力榜！快船榜首，76人雄鹿紧随其后，湖人排在第五！#图说NBA# ​​​,4432693980341613	,2019-10-29-11,2019-10-29,体育夜猫,2947115037	
84,#篮球#盘点NBA上的十大垃圾话 http://t.cn/Ai1W1Uea ​,4432693758373528	,2019-10-29-11,2019-10-29,肖瑶篮球,6524691377	
